"player","level_overall","level_atk","level_def","level_str","level_constiution","level_range","level_prayer","level_magic","level_cooking","level_wood_cutting","level_fletching","level_fishing","level_fire_making","level_crafting","level_smithing","level_mining","level_herb","level_agile","level_theiving","level_slayer","level_farming","level_rune_crafting","level_hunting","level_construction","level_summoning","level_dungeoneering","level_div","level_inven","level_arc","total_xp_overall","cluster","Basic_member_pure","Obby_Mauler_Pure","Black_Pure","Turmoil_Proselyte_Pure","Barrows_Pure","Anti_Pure","Summoning_Tank_Defence"
"Core+Element",2023,93,93,93,95,85,92,86,73,76,85,63,74,80,78,71,85,72,67,82,70,73,63,72,79,70,52,1,1,71430214,1,0,0,0,0,0,0,0
"Anubis6854",939,70,66,70,70,48,46,72,33,64,28,24,44,41,31,32,1,38,25,44,20,28,1,1,1,1,16,1,1,4700948,1,0,0,0,0,0,0,0
"Powlrbowlr5",1795,93,85,99,98,99,99,99,67,59,72,99,71,61,50,64,32,60,70,63,60,48,73,50,76,45,1,1,1,97947694,1,0,0,0,0,0,0,0
"ColdKilMcGee",1547,70,70,73,72,61,57,78,75,83,70,75,65,78,70,75,61,63,58,58,55,62,54,60,1,1,1,1,1,18312934,1,0,0,0,0,0,0,0
"JamesDavery",2512,93,93,93,89,92,99,99,80,81,99,81,99,99,99,84,99,92,92,99,81,83,81,91,96,89,95,99,35,236939992,1,0,0,0,0,0,0,0
"Landwirtscha",2274,70,88,70,86,75,76,88,64,84,71,71,70,84,82,84,85,99,70,73,96,61,73,81,96,77,82,109,109,172882285,2,0,0,0,0,0,0,0
"Dess179",1514,93,93,93,99,99,61,99,43,75,45,54,51,80,64,52,27,42,55,70,25,26,24,36,44,28,34,1,1,69248813,1,0,0,0,0,0,0,0
"Steelmars264",1302,70,67,70,74,74,45,76,68,72,77,63,50,50,51,56,39,59,55,44,26,67,1,40,1,1,1,1,1,11189708,1,0,0,0,0,0,0,0
"KempKor",2038,93,85,99,97,90,95,99,74,99,65,62,60,69,80,71,79,94,83,74,76,88,58,72,84,89,1,1,1,113354292,1,0,0,0,0,0,0,0
"Bloodice1",985,70,75,60,69,31,51,75,46,63,47,31,42,36,45,41,1,32,1,37,1,1,1,1,25,37,1,1,1,5259281,3,0,0,0,0,0,0,0
"Lilsweetpeat",2479,93,93,93,98,97,96,94,99,91,99,91,99,96,94,92,94,94,99,97,92,99,92,92,92,101,97,1,1,260972889,1,0,0,0,0,0,0,0
"tisland",1388,70,80,70,80,93,71,68,30,47,52,31,63,70,80,72,31,57,41,78,1,1,35,1,42,29,25,1,45,20911418,1,0,0,0,0,0,0,0
"PrunHob",1464,93,93,93,93,61,45,79,66,79,47,56,66,80,80,71,1,49,30,1,22,40,22,1,1,1,73,1,85,44919737,1,0,0,0,0,0,0,0
"Ha1jack",762,70,65,75,70,35,43,24,38,46,1,30,49,31,43,46,1,32,15,20,1,1,1,1,1,16,1,1,1,3719386,1,0,0,0,0,0,0,0
"Ur+Rsn+Fails",1935,93,81,99,94,80,80,95,99,99,84,67,86,61,65,72,70,70,60,79,64,80,55,56,70,73,1,1,1,90138516,1,0,0,0,0,0,0,0
"rare+herbert",1047,70,74,71,78,32,44,82,54,31,24,56,29,30,72,78,21,25,20,38,1,1,1,1,1,57,35,1,1,10420990,1,0,0,0,0,0,0,0
"HetisonsBier",2210,93,94,95,99,99,95,99,82,82,82,76,82,77,80,78,95,77,73,90,88,75,79,77,89,92,60,1,1,133846107,2,0,0,0,0,0,0,0
"Paamand",1088,70,70,85,74,56,47,64,23,62,48,1,43,40,53,29,41,27,15,50,1,61,1,32,1,39,31,1,1,8075174,1,0,0,0,0,0,0,0
"Aiternos",1997,93,99,80,94,70,58,89,73,76,70,83,82,80,80,73,78,77,66,82,66,57,68,52,69,52,81,49,1,64428562,1,0,0,0,0,0,0,0
"Ya_mumsyadad",1431,70,70,70,64,32,60,43,51,72,50,53,63,62,72,70,61,62,66,40,16,53,58,50,15,52,45,1,1,8702528,1,0,0,0,0,0,0,0
"Rlcrobert",1763,93,91,96,94,82,61,84,71,75,70,74,99,70,70,62,58,55,56,80,59,32,48,70,56,39,16,1,1,61521188,1,0,0,0,0,0,0,0
"Chasvac10",1464,70,70,80,74,54,59,67,78,70,65,81,61,61,74,85,57,51,67,42,46,46,56,43,1,1,1,1,1,17781644,3,0,0,0,0,0,0,0
"REDNESS",1528,93,93,96,94,76,61,84,64,56,84,66,52,61,80,62,49,42,53,70,1,42,1,1,16,48,34,1,1,46037531,1,0,0,0,0,0,0,0
"Staevid",1000,70,70,63,68,43,39,99,65,50,42,70,1,45,34,47,17,27,50,18,1,20,1,20,15,1,1,1,1,17895258,3,0,0,0,0,0,0,0
"Lake+Lion",2165,93,92,95,96,92,95,90,86,84,88,81,85,77,76,77,90,81,76,85,73,72,72,76,85,72,74,1,1,99570194,1,0,0,0,0,0,0,0
"jostdepauwwe",1392,70,68,65,68,60,55,68,66,65,43,63,52,61,54,61,55,60,60,57,49,44,52,53,39,1,1,1,1,7399457,1,0,0,0,0,0,0,0
"Lester_McGee",2296,93,93,93,94,76,82,90,99,99,99,99,99,83,96,99,77,91,78,92,78,91,84,82,77,76,76,1,1,177986844,2,0,0,0,0,0,0,0
"Opal+King0",1155,70,67,70,69,48,46,87,75,53,70,53,54,43,78,45,41,51,29,39,1,16,1,1,1,30,1,1,1,11713019,1,0,0,0,0,0,0,0
"gfi56",2069,93,99,85,93,99,71,86,77,80,82,65,84,80,84,73,71,73,61,77,54,66,66,70,68,74,81,53,1,79585224,1,0,0,0,0,0,0,0
"Botz4Lyfe",1528,70,77,68,77,77,62,76,43,51,49,37,54,76,42,55,50,62,46,83,45,40,53,52,40,54,42,1,46,13932293,3,0,0,0,0,0,0,0
"willythefish",1881,93,90,99,99,99,79,82,62,99,85,90,86,58,53,83,42,72,59,72,48,52,59,47,68,62,41,1,1,92427632,1,0,0,0,0,0,0,0
"ToXxi",589,70,37,68,68,22,46,55,1,23,1,1,16,1,1,22,1,1,1,1,1,1,1,1,1,35,1,1,1,2369183,1,0,0,0,0,0,0,0
"Digidemon",1980,93,99,93,99,95,85,85,73,61,64,72,80,80,99,68,60,75,60,89,33,59,62,80,84,25,65,1,41,91426032,1,0,0,0,0,0,0,0
"xxGmoneyxx2",1556,70,70,71,72,69,56,61,64,70,68,68,68,56,66,63,68,60,64,55,46,43,53,50,24,34,46,1,20,10720304,1,0,0,0,0,0,0,0
"MusiclRevivl",2082,93,82,99,95,85,67,90,99,99,98,99,80,80,80,99,72,70,77,88,82,66,80,70,72,58,1,1,1,146152933,2,0,0,0,0,0,0,0
"Silencil",1640,70,63,72,71,60,61,90,75,99,71,70,99,61,61,56,56,64,54,52,57,52,55,60,54,55,1,1,1,42048467,1,0,0,0,0,0,0,0
"Cao+Lu+Dun",1849,93,79,96,93,73,73,92,99,63,83,71,79,65,64,68,73,66,59,60,63,71,59,59,61,84,1,1,1,63910882,1,0,0,0,0,0,0,0
"FIT+JIT",1138,70,63,77,72,62,52,70,66,64,51,73,50,50,45,49,26,35,53,39,1,18,1,25,1,1,1,1,1,7662628,1,0,0,0,0,0,0,0
"Gapster",2238,93,95,95,99,99,95,99,81,81,73,89,77,80,80,66,90,73,67,99,61,62,57,64,80,64,80,63,76,140799536,2,0,0,0,0,0,0,0
"Surfbum500",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"Lucyj1234567",1665,93,99,83,92,79,99,86,70,87,99,65,99,60,50,53,49,83,55,62,37,44,41,27,49,1,1,1,1,85470325,1,0,0,0,0,0,0,0
"Jeif",928,70,66,72,68,50,50,65,56,59,1,52,33,36,44,47,17,22,16,19,1,1,1,1,1,46,1,1,1,4412013,1,0,0,0,0,0,0,0
"Troy+Maiden",1979,93,93,95,95,81,71,75,85,99,91,83,80,71,73,86,75,81,81,77,82,62,70,68,55,55,1,1,1,84490553,1,0,0,0,0,0,0,0
"Chief1315",460,70,70,71,54,1,1,1,1,16,1,1,1,39,40,1,1,15,1,34,1,1,1,1,1,1,1,1,1,2659273,4,0,0,0,0,0,0,0
"Sir+Manama",2164,93,99,80,94,84,84,99,99,85,83,95,85,77,85,78,76,80,75,85,74,73,71,80,75,75,78,1,1,107658069,1,0,0,0,0,0,0,0
"15po0lt0dbx",988,70,65,78,72,52,47,52,54,66,42,57,49,54,37,48,1,31,28,31,1,28,1,1,1,1,1,1,1,5679926,3,0,0,0,0,0,0,0
"IM+Gb1",2439,93,99,87,99,99,95,99,88,82,76,85,82,87,83,84,94,83,85,101,72,72,83,82,90,92,90,85,72,202714425,2,0,0,0,0,0,0,0
"Joestin",1695,70,70,70,72,61,79,77,87,69,43,58,68,48,46,63,61,89,37,58,41,86,41,73,53,90,38,1,46,28934382,1,0,0,0,0,0,0,0
"Coin329",2602,93,94,94,95,85,97,90,99,91,99,90,99,99,99,95,93,88,99,89,87,93,99,99,94,91,99,80,72,258941837,1,0,0,0,0,0,0,0
"TetsuDerp",1072,70,71,70,71,30,49,63,32,40,15,32,49,44,39,38,53,42,39,65,1,21,1,1,42,39,28,1,1,4809503,1,0,0,0,0,0,0,0
"Nangs+4+nana",2194,93,93,92,97,93,91,95,83,86,81,80,78,78,78,76,96,78,69,91,84,62,82,69,96,86,58,1,28,113065133,1,0,0,0,0,0,0,0
"Preston+Prat",1419,70,70,70,69,46,52,60,71,91,73,60,60,46,50,50,55,61,30,59,17,36,60,70,39,1,41,1,1,14135686,3,0,0,0,0,0,0,0
"Ash+Ketchum",2271,93,93,93,94,80,90,90,99,91,86,99,92,75,75,86,99,99,84,84,77,99,83,99,91,85,33,1,1,171371549,2,0,0,0,0,0,0,0
"0broz",1190,70,63,68,67,51,44,60,55,48,54,50,52,49,42,54,29,43,53,45,30,32,50,31,34,1,1,1,1,4218665,1,0,0,0,0,0,0,0
"Deadlord199",1902,93,89,99,95,76,95,80,64,57,57,57,75,75,67,71,75,76,73,70,55,61,77,75,69,56,55,1,1,61263723,1,0,0,0,0,0,0,0
"Evilspy963",947,70,65,65,67,51,34,57,41,49,35,52,24,38,36,62,19,39,29,28,1,19,1,37,1,1,1,1,1,3509199,1,0,0,0,0,0,0,0
"AllWaysFresh",2190,93,91,93,96,92,81,86,96,84,99,99,85,94,87,88,88,80,73,91,57,50,69,55,55,69,82,38,19,130716413,2,0,0,0,0,0,0,0
"gambitwd503",1848,70,71,70,68,68,56,81,63,69,75,56,74,93,99,93,74,79,70,48,72,69,56,78,37,39,71,1,48,47540626,1,0,0,0,0,0,0,0
"littlecorsar",2708,93,98,92,99,99,99,99,99,94,96,99,94,99,95,93,102,98,98,98,108,95,97,99,99,99,95,82,90,356512690,1,0,0,0,0,0,0,0
"Luciferr7",1233,70,68,71,73,67,50,64,58,76,73,56,39,55,48,54,32,35,50,43,20,50,35,24,1,1,1,1,1,8034195,1,0,0,0,0,0,0,0
"Iron+Avali",2623,93,93,93,99,99,99,93,89,91,87,84,94,99,91,92,99,93,99,92,103,82,99,92,90,90,99,90,99,401237585,1,0,0,0,0,0,0,0
"trapkesop",903,70,67,70,69,37,49,45,66,66,1,67,48,46,50,56,1,1,1,1,1,39,1,1,1,46,1,1,1,5119693,3,0,0,0,0,0,0,0
"Crypteer",1862,93,90,99,99,77,99,71,73,75,71,71,99,84,65,69,70,55,45,68,42,75,43,70,60,45,50,1,1,84494071,1,0,0,0,0,0,0,0
"Goliath718",713,70,52,55,62,23,24,43,39,64,21,23,43,1,45,66,1,18,1,1,1,29,1,21,1,1,1,1,1,2617102,1,0,0,0,0,0,0,0
"Lordducky26",2017,93,93,92,88,74,64,82,84,90,96,83,78,88,96,99,50,62,67,54,60,67,52,71,71,56,62,1,44,87732274,1,0,0,0,0,0,0,0
"Kilo1321",1519,70,62,62,66,65,52,57,63,56,63,57,71,60,71,72,36,77,60,56,36,54,45,60,31,58,57,1,1,9926141,1,0,0,0,0,0,0,0
"Janix+Lv",2787,93,99,93,99,92,99,99,99,99,99,99,99,99,99,99,101,99,99,101,101,99,99,99,99,104,99,106,115,491939739,1,0,0,0,0,0,0,0
"Boevenbaas",2091,70,74,69,74,76,76,74,88,85,75,79,85,80,81,78,76,76,72,72,80,83,75,76,73,71,81,1,78,46144728,1,0,0,0,0,0,0,0
"Karox1209",2425,93,99,92,99,99,85,99,80,88,80,80,81,84,83,80,80,88,80,80,99,80,80,81,95,83,85,92,80,171931323,2,0,0,0,0,0,0,0
"Shylyrun2391",880,70,70,75,72,63,35,46,30,63,36,51,20,45,38,60,1,1,1,23,1,21,21,1,1,15,1,1,1,5123439,3,0,0,0,0,0,0,0
"Ulysses+I",2588,93,99,93,99,99,95,99,93,85,99,91,88,94,99,99,99,99,88,97,93,91,79,91,89,93,97,81,66,267357502,1,0,0,0,0,0,0,0
"Killergirlnb",882,70,61,69,66,48,48,44,52,71,1,50,64,41,47,45,1,1,1,1,1,41,1,1,1,27,1,1,1,4350040,1,0,0,0,0,0,0,0
"73F",2177,93,99,98,99,91,95,99,80,88,83,73,81,84,80,90,85,77,67,91,65,62,72,80,80,83,71,1,1,142713408,2,0,0,0,0,0,0,0
"Imzadi",920,70,68,60,60,32,48,26,43,38,51,20,50,53,99,20,35,42,1,1,1,22,1,1,1,24,24,1,1,15926551,3,0,0,0,0,0,0,0
"42zombie1595",1338,93,91,90,92,72,62,99,59,80,99,58,60,45,45,51,19,44,55,44,1,72,1,1,1,1,1,1,1,59355555,1,0,0,0,0,0,0,0
"Mjollo",1664,70,70,73,74,73,56,57,86,84,61,86,82,62,62,72,59,49,70,53,48,62,48,61,48,47,48,1,1,22849171,1,0,0,0,0,0,0,0
"CuteLilSloth",1890,93,90,99,97,86,73,96,74,78,99,73,73,62,62,64,58,67,58,76,56,99,76,67,78,33,1,1,1,100851492,1,0,0,0,0,0,0,0
"Karim+6123",1576,70,70,72,74,70,62,70,75,75,82,62,75,57,76,75,52,37,60,52,18,54,50,60,55,32,40,1,1,16419727,3,0,0,0,0,0,0,0
"Comcool123",2198,93,99,95,99,86,87,99,82,88,99,86,83,99,84,74,93,81,69,91,72,73,69,71,76,68,72,1,1,270859913,1,0,0,0,0,0,0,0
"68batswolf",1268,70,70,70,73,73,49,55,71,64,59,87,60,41,44,54,42,38,42,40,44,18,46,26,27,1,1,1,1,10921902,1,0,0,0,0,0,0,0
"IAINBOI",2714,93,92,92,94,92,99,93,99,99,99,99,99,99,99,99,102,99,99,101,105,96,99,99,99,99,99,95,75,405349664,1,0,0,0,0,0,0,0
"Kllla+Magila",563,70,40,98,90,84,31,56,1,36,1,1,1,31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21728573,1,0,0,0,0,0,0,0
"Off+the+beer",2095,93,82,99,96,90,82,84,73,85,73,74,94,81,88,86,72,75,71,94,66,68,66,73,72,79,77,1,1,88591526,1,0,0,0,0,0,0,0
"xxpeak",1036,70,70,76,72,43,41,39,63,91,54,57,99,40,47,61,1,18,23,1,1,24,1,1,1,1,1,1,1,24254965,1,0,0,0,0,0,0,0
"Sergio+Perez",1829,93,87,87,90,82,92,80,72,65,56,64,68,56,66,69,75,72,68,70,71,55,73,60,68,87,1,1,1,47960663,1,0,0,0,0,0,0,0
"Tom+Logan4",1865,70,70,68,70,59,71,60,80,95,76,75,91,81,78,87,61,53,60,62,59,60,57,72,56,56,76,1,61,36990210,1,0,0,0,0,0,0,0
"Bigfoot1147",1481,93,75,82,88,81,60,76,99,72,99,59,66,62,51,66,45,56,53,40,24,49,41,26,16,1,1,1,1,49012397,1,0,0,0,0,0,0,0
"Promisses",1125,70,70,75,77,79,63,72,85,82,1,75,79,60,63,66,1,1,1,1,1,51,1,1,1,46,1,1,1,17739319,3,0,0,0,0,0,0,0
"Not+Diddles",2503,93,99,89,99,99,95,99,75,82,73,80,71,93,92,91,100,85,68,101,94,90,83,82,96,80,95,99,100,281586529,1,0,0,0,0,0,0,0
"Wandkyatt785",1194,70,60,68,68,57,48,60,59,69,56,57,50,53,52,61,32,57,53,44,32,41,1,41,1,1,1,1,1,5474402,3,0,0,0,0,0,0,0
"Caesar+Jr",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"Aero-Axer",1742,70,69,65,69,52,51,66,81,99,99,75,84,58,58,67,61,63,53,51,63,82,66,57,54,51,76,1,1,43638915,1,0,0,0,0,0,0,0
"Bonebreake",2402,93,99,90,99,96,96,99,83,81,80,83,86,89,81,86,95,82,87,95,92,86,80,85,88,91,93,86,1,184208586,2,0,0,0,0,0,0,0
"RPtank",1076,70,70,52,65,60,37,34,62,57,60,43,68,35,54,48,39,18,1,50,1,1,17,39,1,22,39,1,1,4512464,1,0,0,0,0,0,0,0
"JabbaDahHuh",1982,93,99,99,99,99,95,90,53,68,70,73,73,69,72,68,95,73,66,86,54,51,88,59,88,71,29,1,1,124393269,2,0,0,0,0,0,0,0
"toebean+13",1381,70,76,71,73,74,71,70,79,85,84,75,91,77,83,96,1,1,1,1,1,70,1,1,1,70,1,1,20,38259728,1,0,0,0,0,0,0,0
"Bishamon",2004,93,92,94,96,92,95,90,87,88,74,99,99,83,63,85,80,69,61,66,54,83,42,50,39,66,62,1,1,105006422,1,0,0,0,0,0,0,0
"4+h+r+1+ivi",1290,70,66,87,82,80,76,94,1,91,43,15,50,51,37,63,19,47,53,29,19,59,1,50,26,65,1,1,1,27870352,1,0,0,0,0,0,0,0
"Purgerune686",1886,93,99,92,96,87,67,83,82,99,92,88,68,61,67,67,76,59,62,82,63,59,65,54,79,43,1,1,1,84177779,1,0,0,0,0,0,0,0
"Sk8ter+Pug",1250,70,69,70,70,61,48,50,59,68,62,56,68,58,48,54,34,40,45,34,33,27,59,40,24,1,1,1,1,6484687,1,0,0,0,0,0,0,0
"Real+P",2024,93,90,90,96,93,92,91,58,80,70,60,56,80,93,80,80,77,67,86,66,54,53,76,75,78,80,1,1,78944837,1,0,0,0,0,0,0,0
"HiroPhan",939,70,72,64,59,27,29,1,24,33,51,22,59,64,78,50,1,25,48,30,1,1,32,26,1,1,1,1,1,5206401,3,0,0,0,0,0,0,0
"legiiionn",2449,93,99,99,99,92,99,99,70,84,80,72,76,99,99,85,99,94,80,99,70,71,80,81,86,89,83,85,87,207191363,2,0,0,0,0,0,0,0
"Eldelb0",1579,70,92,75,95,99,58,75,80,79,76,79,62,64,64,70,52,59,56,68,42,47,61,33,1,17,1,1,1,47578884,1,0,0,0,0,0,0,0
"Stuff4152",2706,93,94,91,95,92,99,94,92,94,99,99,99,99,99,95,120,99,99,99,96,96,99,99,99,100,99,92,75,417110502,1,0,0,0,0,0,0,0
"Eragon6853",1865,70,70,64,65,64,80,78,71,81,75,90,83,81,81,75,59,54,60,58,60,72,66,73,46,68,80,1,36,31748358,1,0,0,0,0,0,0,0
"Task+Psyche",2261,93,99,93,99,94,83,99,81,75,70,85,70,83,75,88,82,78,75,92,103,77,79,76,75,80,79,1,77,140636671,2,0,0,0,0,0,0,0
"Kaarcxiv",1555,70,69,70,69,57,56,66,74,65,64,75,57,61,57,64,68,57,59,51,63,47,67,47,42,41,1,1,37,10768857,1,0,0,0,0,0,0,0
"Kerapacsdick",2564,93,99,92,97,99,96,90,82,87,96,90,99,99,99,95,99,86,76,100,74,99,82,84,88,99,88,82,94,247451737,1,0,0,0,0,0,0,0
"J+Sams",1241,70,70,73,73,63,46,69,64,84,36,66,50,38,42,55,19,49,37,43,18,44,29,41,15,20,1,1,20,9464342,1,0,0,0,0,0,0,0
"ed8+4+gold",2528,93,99,89,99,99,95,99,89,85,92,94,80,94,81,89,96,84,72,99,90,72,99,81,88,92,97,100,81,366302628,1,0,0,0,0,0,0,0
"LedZeppelin0",1854,70,72,73,78,84,70,70,99,75,90,85,99,79,99,80,62,50,59,46,40,54,51,62,49,44,59,1,54,64807407,1,0,0,0,0,0,0,0
"Spurleyboy14",2349,93,99,95,99,99,99,99,71,80,93,69,99,97,99,78,99,91,91,99,65,70,81,79,99,75,82,48,1,207810184,2,0,0,0,0,0,0,0
"Rainplace519",866,70,60,79,72,43,51,49,66,66,1,62,57,42,39,47,1,1,1,1,1,25,1,1,1,26,1,1,1,5893460,1,0,0,0,0,0,0,0
"Salty+Louise",2522,93,99,95,99,99,99,99,94,84,99,99,99,99,95,92,100,92,86,89,84,80,81,85,90,120,83,86,1,743628682,1,0,0,0,0,0,0,0
"FuIIey",803,70,65,66,63,1,41,1,19,18,1,18,15,21,91,92,1,1,1,21,1,1,1,1,1,28,1,1,16,15189922,3,0,0,0,0,0,0,0
"Vaz-y",2731,93,99,93,99,93,99,99,91,99,92,95,99,94,99,99,93,93,99,101,94,99,94,93,99,110,94,99,120,525084039,1,0,0,0,0,0,0,0
"dadinho640",1533,70,80,70,88,43,59,81,72,75,63,64,63,52,50,75,30,41,53,58,28,50,40,39,50,69,44,1,25,17442208,3,0,0,0,0,0,0,0
"Embrocation",1705,93,85,99,96,86,70,88,74,78,75,65,71,54,52,60,49,55,54,67,32,50,70,52,57,43,29,1,1,52741792,1,0,0,0,0,0,0,0
"Phillp+Eno",1396,70,70,71,71,62,51,67,68,67,49,65,58,56,62,63,42,52,56,46,42,47,42,41,42,34,1,1,1,7951643,1,0,0,0,0,0,0,0
"pleatherface",2045,93,99,90,99,99,95,99,76,77,80,73,80,80,78,67,94,65,67,86,52,61,63,75,86,51,58,1,1,108520988,1,0,0,0,0,0,0,0
"MrIbuprofen",877,70,83,80,78,58,47,62,57,51,27,55,45,31,41,17,1,31,1,1,1,1,1,1,1,31,1,1,1,8646543,1,0,0,0,0,0,0,0
"Aphrodisium",2047,93,93,93,99,99,95,99,76,84,99,74,75,76,72,77,69,79,67,76,66,54,80,70,72,85,23,1,1,114526340,1,0,0,0,0,0,0,0
"Lose+Energy",2085,70,70,91,80,64,65,99,99,99,99,99,79,99,99,84,99,92,99,70,57,99,79,99,57,35,1,1,1,177356782,2,0,0,0,0,0,0,0
"Frostbones62",1424,93,93,93,93,66,82,57,53,51,30,53,49,57,81,71,48,37,32,58,20,20,19,22,34,67,18,1,26,38283208,1,0,0,0,0,0,0,0
"Kluwn+Ns",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"Bappack",1993,93,99,99,99,99,99,88,84,73,80,54,85,69,73,76,75,70,63,84,47,72,57,48,84,71,50,1,1,105595390,1,0,0,0,0,0,0,0
"Ice+Boy279",991,70,70,65,69,50,48,50,42,52,32,35,35,48,38,49,1,35,35,23,1,36,30,27,1,29,1,1,1,3499270,1,0,0,0,0,0,0,0
"Moreau",2389,93,92,91,96,93,95,92,75,82,78,87,82,87,99,99,96,85,90,98,76,76,80,84,96,86,84,42,55,153207004,2,0,0,0,0,0,0,0
"Chance72894",1233,70,70,71,70,50,43,62,75,75,76,82,60,48,41,47,33,34,32,36,27,1,55,33,18,1,1,1,1,10748830,1,0,0,0,0,0,0,0
"Comrade+Time",2245,93,99,91,99,99,98,99,75,80,88,74,80,81,81,78,99,83,71,94,70,72,70,77,99,99,81,1,1,161614919,2,0,0,0,0,0,0,0
"Mcdudeanator",1197,70,72,74,73,50,52,67,75,71,36,58,59,56,62,61,23,37,44,39,18,34,1,40,1,1,1,1,1,8336692,1,0,0,0,0,0,0,0
"NeruuXP",2388,93,99,99,99,99,96,99,89,99,91,81,91,86,81,81,81,95,86,88,81,93,86,81,96,94,80,20,24,214320613,1,0,0,0,0,0,0,0
"Garibaldi89",1875,70,75,70,71,70,60,80,68,61,75,61,75,80,80,71,65,60,62,60,59,58,75,75,60,59,80,40,55,23337464,1,0,0,0,0,0,0,0
"Ruskington",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"Shorty456",1253,70,70,65,71,70,69,70,45,47,62,39,54,77,38,37,56,51,32,20,19,32,20,59,24,18,18,1,19,7954641,1,0,0,0,0,0,0,0
"GodSemiz",1987,93,99,99,99,86,74,75,99,68,94,79,74,83,75,65,99,57,57,100,56,48,65,70,54,58,59,1,1,113639727,1,0,0,0,0,0,0,0
"S+we",1338,70,82,62,84,47,67,90,61,56,36,58,58,50,26,48,51,54,35,61,23,45,1,27,1,68,40,1,18,15846412,3,0,0,0,0,0,0,0
"Virtvs",2223,93,99,99,99,99,99,99,70,80,77,72,81,80,82,81,81,83,99,100,69,63,76,81,92,81,63,1,24,165657782,2,0,0,0,0,0,0,0
"NymiraDracon",1194,70,70,70,68,35,37,44,46,61,54,42,56,61,72,81,21,39,27,64,1,49,1,58,1,28,1,1,1,8148116,1,0,0,0,0,0,0,0
"mlady+Britt",2517,93,92,92,94,93,92,94,99,99,99,99,99,98,96,99,96,90,96,90,99,91,92,93,94,84,82,33,39,262632837,1,0,0,0,0,0,0,0
"UrSiiiNhO_Br",1867,70,71,77,73,70,70,67,99,81,75,66,99,80,82,80,82,61,52,55,52,70,55,56,50,99,73,1,1,62118570,1,0,0,0,0,0,0,0
"The+FL+MAN",2407,93,96,92,99,96,95,99,94,81,79,99,92,82,89,94,82,90,92,100,69,66,99,80,80,76,81,37,75,174435432,2,0,0,0,0,0,0,0
"Echelonn",2000,70,70,66,71,65,71,67,70,80,75,72,82,80,99,75,99,93,43,58,71,62,49,81,83,80,80,19,69,60857799,1,0,0,0,0,0,0,0
"lonestruggle",2212,93,93,93,99,95,93,98,87,67,99,85,72,99,83,76,80,72,65,97,68,70,80,62,84,90,80,23,1,135411859,2,0,0,0,0,0,0,0
"Pkedudead",1139,70,65,81,73,61,60,74,48,81,70,31,99,55,33,20,46,40,26,42,1,1,17,27,1,1,1,1,1,22855474,1,0,0,0,0,0,0,0
"warmy30",2347,93,90,99,98,96,96,97,83,99,87,83,86,88,82,84,88,89,80,89,78,83,82,85,99,99,84,29,1,168309968,2,0,0,0,0,0,0,0
"Floofy+Kitty",899,70,61,63,65,44,45,59,56,52,1,60,35,39,44,52,1,1,15,15,1,24,1,41,1,28,1,1,1,3235010,1,0,0,0,0,0,0,0
"kwuarmanteen",2526,93,93,92,94,93,90,90,87,90,90,81,90,90,99,99,90,94,81,99,101,82,88,90,96,95,83,84,72,208712971,1,0,0,0,0,0,0,0
"C+ondi",1827,70,66,68,67,48,63,64,64,78,67,83,72,87,80,65,63,59,54,56,64,62,56,86,84,53,80,22,46,28021048,1,0,0,0,0,0,0,0
"SiimplyN8",2636,93,99,99,99,92,99,91,96,86,99,99,99,99,99,90,99,99,99,99,90,90,86,90,90,92,99,84,80,281133584,1,0,0,0,0,0,0,0
"Anchoret",1695,70,81,70,80,72,62,82,72,64,55,70,53,69,54,72,74,70,59,76,55,45,48,54,49,46,45,1,47,18318481,1,0,0,0,0,0,0,0
"Viridiman1",2255,93,91,94,92,83,93,83,65,76,71,81,69,86,82,77,99,81,73,99,72,73,85,78,91,89,82,58,39,110669264,1,0,0,0,0,0,0,0
"KrinDharIt",1366,70,71,60,68,70,52,65,41,50,52,41,49,66,81,60,44,48,49,63,22,31,34,57,32,33,40,1,16,8222940,1,0,0,0,0,0,0,0
"Dizzywolf",2056,93,85,96,93,82,92,67,87,67,60,99,64,80,81,69,92,71,68,79,46,53,66,75,69,84,80,57,1,87227775,1,0,0,0,0,0,0,0
"Ummer990",962,70,66,75,72,60,49,61,68,71,1,66,64,52,64,72,1,1,1,1,1,40,1,1,1,1,1,1,1,8025538,1,0,0,0,0,0,0,0
"dovaborn12",2238,93,93,93,93,89,92,88,82,83,80,78,81,81,80,81,80,82,79,83,79,80,83,87,85,81,81,51,1,95436923,1,0,0,0,0,0,0,0
